netmiko_driver,platform_name,description
a10,A10 ACOS,A10 Networks ACOS load balancers/ADCs. Active product line.
accedian,Accedian,Accedian performance-assurance devices. Accedian acquired by Cisco in 2023; product line largely wound down.
adtran_os,AOS (Adtran),Adtran Operating System on NetVanta/Total Access routers/switches. Note: unrelated to Alcatel/Aruba AOS. Active.
adva_fsp150f2,FSP150 F2,ADVA FSP 150 F2 series carrier-Ethernet access. ADVA merged with ADTRAN (2022) forming Adtran Holdings. Active.
adva_fsp150f3,FSP150 F3,ADVA FSP 150 F3 series carrier-Ethernet access. ADVA merged with ADTRAN (2022). Active.
alaxala_ax26s,AX2600S,ALAXALA AX2600S switches. ALAXALA is a Hitachi/NEC joint venture (now Hitachi subsidiary). Active in Japan market.
alaxala_ax36s,AX3600S,ALAXALA AX3600S switches. Hitachi subsidiary. Active in Japan market.
alcatel_aos,AOS (Alcatel),Alcatel-Lucent Enterprise OmniSwitch AOS. ALE (enterprise) spun out of Alcatel-Lucent; Nokia acquired the carrier side (2016). Active.
alcatel_sros,SR OS (Alcatel),Alcatel-Lucent Service Router OS. Carrier business absorbed by Nokia (2016); now branded Nokia SR OS. Legacy naming.
allied_telesis_awplus,AlliedWare Plus,Allied Telesis AlliedWare Plus switches/routers. Successor to legacy AlliedWare. Active.
apresia_aeos,AEOS,APRESIA Systems AEOS switches. APRESIA formerly Hitachi Metals networking line. Active in Japan.
arista_eos,EOS (Arista),Arista Extensible Operating System (Linux-based). Flagship DC switching OS. Active/strategic.
arris_cer,CER,ARRIS C-series Edge Router (CMTS). ARRIS acquired by CommScope (2019). Cable line maintained.
aruba_aoscx,AOS-CX,Aruba AOS-CX modern switching OS. Aruba is HPE's networking arm (Aruba acquired 2015). Active/strategic.
aruba_os,AOS (Aruba),ArubaOS for wireless controllers and access points. HPE subsidiary. Active.
aruba_osswitch,ArubaOS-Switch,ArubaOS-Switch (legacy Provision/HP switch OS). Being superseded by AOS-CX. Maintenance.
aruba_procurve,ProCurve (Aruba),Legacy HP/Aruba ProCurve switches. Superseded by ArubaOS-Switch/AOS-CX. End-of-life era.
asterfusion_asternos,AsterNOS,AsterFusion AsterNOS (SONiC-based) data-center switches. Active.
audiocode_66,AudioCodes 6.6,AudioCodes gateways/SBCs running firmware v6.6. Legacy branch.
audiocode_72,AudioCodes 7.2,AudioCodes gateways/SBCs running firmware v7.2. Active branch.
audiocode_shell,AudioCodes Shell,AudioCodes device native shell interface. Active.
avara_aos,AOS (Avara),Avara Technologies OAP800 access platform AOS. Niche/regional.
avaya_ers,ERS (Avaya),Avaya Ethernet Routing Switch. Legacy Nortel line; enterprise networking sold to Extreme (2017). Legacy.
avaya_vsp,VSP (Avaya),Avaya Virtual Services Platform (VOSS). Nortel heritage; sold to Extreme (2017). Legacy branding.
aviat_wtm,WTM,Aviat Networks WTM microwave radios. Active.
bintec_boss,BOSS,bintec elmeg BOSS router OS. Brand now under Teldat. Active/regional.
broadcom_icos,ICOS,Broadcom ICOS (FASTPATH-derived) merchant-silicon switch OS. Active as reference NOS.
brocade_fastiron,FastIron (Brocade),Brocade FastIron (ICX) campus switches. Brocade IP networking sold to Extreme (2017); FastIron continued by Ruckus/CommScope. Legacy driver.
